Site,annee,SM_Mini,Date_pose,Longitude,Latitude,Altitude,Orientation,Hauteur,Espece,DBH,Date_maintenance,Fuseau_horaire_maintenance,Date_recup,Fuseau_horaire_recup
RNCFS_Belledonne,2024,2MA00265,23/02/2024,6.098160,45.2668710,1484,180,110,Alnus incana,20.1,06/06/2024,UTC+2,25/09/2024,UTC+2
RBI_du_Vercors,2024,2MA00267,20/03/2024,5.45768,44.92651,1427,150,2,SAPIN,14,17/06/2024,UTC+2,09/10/2024,NA
PN_Ecrins_Chaillol,2024,2MA00294,02/03/2024,6.17607,44.69904,1910,175,330,Meleze,20.7,07/06/2024,UTC+2,20/10/2024,NA
RNN_Chastreix_Sancy,2024,2MA00313,28/02/2024,2.80620,45.51706,1440,170,360,hetre (Fagus sylvatica),20,02/06/2024,UTC+2,11/10/2024,UTC+2
Foret_indevillers,2024,2MA00323,01/03/2024,6.96963,47.29689,730,1.70,60,Sapin pectine,20,24/06/2024,UTC+2,02/10/2024,UTC+2
RBI_des_Grands_Monts,2024,2MA00332,28/02/2024,2.856982,49.332659,132,160,174,Erable sycomore,22,03/06/2024,UTC+2,NA,NA
RNN_de_Cerisy,2024,2MA00336,27/02/2024,-0.8736787,49.200684,110.28,155,10,hetre,23,18/06/2024,UTC+2,NA,NA
PN_Ecrins_Embrun_Bonnabelle,2024,2MA00338,03/03/2024,6.4494,44.57041,1500,175,186,Pin sylvestre,14.3,17/06/2024,UTC+2,NA,NA
RNR_Mantet,2024,2MA00340,01/03/2024,2.30148,42.46829,1752,158,48,Sapin,57,31/05/2024,UTC+2,30/09/2024,UTC+2
RNN_Grand_Ventron,2024,2MA00341,26/02/2024,6.931831,47.956106,1110,180,80,Sapin pectine,18,11/06/2024,minutes,02/10/2024,UTC+2
RNN_Vallee_Chaudefour,2024,2MA00383,22/02/2024,2.860425,45.536799,1308,165,107,Fagus sylvatica,30,20/06/2024,UTC+2,30/09/2024,UTC+2
RBD_Longegoutte_Gehant,2024,2MA00391,22/03/2024,06.75557,47.92820,900,150,45,Sapin,25,05/06/2024,UTC+2,28/10/2024,UTC+2
Foret_Molestie,2024,2MA00393,01/03/2024,1.9410937,45.5247070,803,200,268,Hetre,15,13/08/2024,UTC+2,08/10/2024,UTC+2
RBI_de_Chaux,2024,2MA00395,26/02/2024,5.721248,47.099101,268,160,90,Aulne Glutineux,19,04/07/2024,UTC+1,02/10/2024,-1h
RNR_massif_montious,2024,2MA00397,22/02/2024,0.437957,42.869865,1766.2,169,280,Abies alba,15,03/07/2024,UTC+2,24/10/2024,UTC+2
Puy_Mey,2024,2MA00404,04/03/2024,2.96707,45.71273,1033,250,104,Fagus sylvatica,21.5,12/06/2024,UTC+2,30/09/2024,NA
RBI_dArtoise,2024,2MA00409,12/03/2024,4.16284,49.92666,212,150,0,charme,0.2,10/06/2024,UTC+2,NA,NA
RBI_Gros_Fouteau,2024,2MA00413,01/03/2024,2.67733,48.42997,87,120,90,hetre,15,02/06/2024,UTC+2,01/10/2024,UTC+2
RNR_Jujols,2024,2MA00416,05/03/2024,2.26305,42.60688,2115,150,150,Pin a crochet,23,20/05/2024,UTC+2,30/09/2024,UTC+2
RNN_Ristolas,2024,2MA00419,15/03/2024,7.00013,44.72813,1978,200,170,Peuplier tremble,20,28/06/2024,UTC+2,04/10/2024,UTC+2
RBI_de_Nantigny,2024,2MA00421,14/03/2024,2.67846,46.56973,305,1.5,230,charme,18,10/06/2024,UTC+2,07/10/2024,UTC+2
RNR_Tourbiere_Saisies_Beaufortain_Val_dArly,2024,2MA00423,28/02/2024,6.512055,45.767959,1673,160,230,Epicea,29,24/06/2024,UTC+2,NA,NA
